ms,ca,cb,caper,cbper,q,qdes,dq,dqdes,pa,pb,Ta,Tb,pid_u
0,2.999999998677546,3.000000001322454,59.99999997355092,60.00000002644908,0.0,-4.750126142203699e-12,0.0,-2.6448363934386088e-06,362.36630036630044,362.00183150183153,2.5763211648720854,2.609742956906505,-2.6449076457573033e-08
33,2.999984433116362,3.000015566883638,59.999688662327245,60.000311337672755,0.0,-0.0004114555373648076,0.0,-0.02461544529546174,362.00183150183153,360.36172161172163,2.576240706210284,2.609742956906505,-0.00031131122367323763
66,2.9999466888986035,3.0000533111013965,59.99893377797207,60.00106622202793,0.0,-0.0016411075374981076,0.0,-0.04916032676799454,362.91300366300374,361.2728937728938,2.5760824724605813,2.609666520331839,-0.0007548843551765463
100,2.999879799291472,3.000120200708528,59.99759598582944,60.00240401417056,0.0,-0.003687254777103461,0.0,-0.07368817732014539,361.0906593406594,360.36172161172163,2.5760824724605813,2.609483114931177,-0.0013377921426274994
133,2.9997763758669094,3.0002236241330906,59.99552751733819,60.00447248266181,0.0,-0.006555924434341703,0.0,-0.09825693447901195,362.00183150183153,361.8195970695971,2.576659216830602,2.6097786667010885,-0.002068468491254967
166,2.9996287992792317,3.0003712007207683,59.99257598558463,60.00742401441537,0.0,-0.010238739501856916,0.0,-0.12279183449210689,362.36630036630044,362.7307692307692,2.5756749294603796,2.6097786667010885,-0.0029515317535571644
200,2.9994289602191215,3.0005710397808785,59.988579204382425,60.011420795617575,0.0,-0.014747946522806024,0.0,-0.14737099575405765,362.184065934066,362.36630036630044,2.5756804133514986,2.6102406654962835,-0.003996781202207018
233,2.999168622926721,3.000831377073279,59.98337245853442,60.01662754146558,0.0,-0.020065328771932952,0.0,-0.17189742890363086,362.00183150183153,362.00183150183153,2.5756804133514986,2.610219291222157,-0.005206745848006743
266,2.9988390788195547,3.0011609211804453,59.97678157639109,60.02321842360891,0.0,-0.026202049129967642,0.0,-0.19643273757044696,364.3708791208792,362.54853479853483,2.5767261879935646,2.6102763855068054,-0.006590882143327828
300,2.998431302986196,3.001568697013804,59.96862605972392,60.03137394027608,0.0,-0.0331560327132707,0.0,-0.22096705147837362,362.00183150183153,363.09523809523813,2.575691099958868,2.6102763855068054,-0.00815551666717421
333,2.9979357883576934,3.0020642116423066,59.95871576715387,60.04128423284613,0.0,-0.04093959696164409,0.0,-0.24553760892256243,360.90842490842493,362.54853479853483,2.575691099958868,2.6104650394909528,-0.00991029257004784
366,2.9973430607064167,3.0026569392935833,59.94686121412833,60.05313878587167,0.0,-0.0495202768213301,0.0,-0.2700460149202119,362.00183150183153,362.36630036630044,2.575691099958868,2.6098989954608096,-0.011854553025538265
