ms,q_cur,q_pred,valve_a,valve_b,pid_u
0.2,0.0,0.0,60.0,60.0,0.0000
50.3,0.0,0.0,60.0,60.0,0.0000
100.3,0.0,0.0,60.0,60.0,0.0000
150.3,0.0,0.0,60.0,60.0,0.0000
200.3,0.0,0.0,60.0,60.0,0.0000
250.3,0.0,0.0,60.0,60.0,0.0000
300.3,0.0,0.0,60.0,60.0,0.0000
350.4,0.0,0.0,60.0,60.0,0.0000
400.5,0.0,0.0,60.0,60.0,0.0000
450.6,0.0,0.0,60.0,60.0,0.0000
500.3,0.0,0.0,60.0,60.0,0.0000
550.3,0.0,0.0,60.0,60.0,0.0000
600.5,0.0,0.0,60.0,60.0,0.0000
650.4,0.0,0.0,60.0,60.0,0.0000
700.4,0.0,0.0,60.0,60.0,0.0000
751.1,0.0,0.0,60.0,60.0,0.0000
800.3,0.0,0.0,60.0,60.0,0.0000
850.8,0.0,0.0,60.0,60.0,0.0000
900.3,0.0,0.0,60.0,60.0,0.0000
950.6,0.0,0.0,60.0,60.0,0.0000
1000.3,0.0,0.0,60.0,60.0,0.0000
1050.3,0.0,0.0,60.0,60.0,0.0000
1100.3,0.0,0.0,60.0,60.0,0.0000
1150.5,0.0,0.0,60.0,60.0,0.0000
1200.8,0.0,0.0,60.0,60.0,0.0000
1250.5,0.0,0.0,60.0,60.0,0.0000
1300.3,0.0,0.0,60.0,60.0,0.0000
1350.8,0.0,0.0,60.0,60.0,0.0000
1400.4,0.0,0.0,60.0,60.0,0.0000
1450.8,0.0,0.0,60.0,60.0,0.0000
1500.7,0.0,0.0,60.0,60.0,0.0000
1550.3,0.0,0.0,60.0,60.0,0.0000
1600.3,0.0,0.0,60.0,60.0,0.0000
1651.0,0.0,0.0,60.0,60.0,0.0000
1700.9,0.0,0.0,60.0,60.0,0.0000
1750.3,0.0,0.0,60.0,60.0,0.0000
1800.3,0.0,0.0,60.0,60.0,0.0000
1850.3,0.0,0.0,60.0,60.0,0.0000
1900.3,0.0,0.0,60.0,60.0,0.0000
1950.4,0.0,0.0,60.0,60.0,0.0000
