start,dur,rmse_qdes,rmse_q,metrics_path
20,5,7.875474040288076,5.9709012649364395,plots/impulse_res200_pulse_sweep/metrics_start20_dur5.npz
20,10,7.967181863184945,6.490095759764614,plots/impulse_res200_pulse_sweep/metrics_start20_dur10.npz
20,20,7.833582756388621,6.337333645487345,plots/impulse_res200_pulse_sweep/metrics_start20_dur20.npz
20,30,7.755501898806186,6.081905425729946,plots/impulse_res200_pulse_sweep/metrics_start20_dur30.npz
20,50,8.69248901517666,6.999013918145066,plots/impulse_res200_pulse_sweep/metrics_start20_dur50.npz
50,5,7.71039550364658,6.0055836643341145,plots/impulse_res200_pulse_sweep/metrics_start50_dur5.npz
50,10,7.751013866467369,5.987307437763655,plots/impulse_res200_pulse_sweep/metrics_start50_dur10.npz
50,20,7.876946663153116,5.982095425639538,plots/impulse_res200_pulse_sweep/metrics_start50_dur20.npz
50,30,7.795387710260943,6.010710151660392,plots/impulse_res200_pulse_sweep/metrics_start50_dur30.npz
50,50,7.830653362805063,6.896251078142306,plots/impulse_res200_pulse_sweep/metrics_start50_dur50.npz
80,5,7.672596874116825,6.104524867846576,plots/impulse_res200_pulse_sweep/metrics_start80_dur5.npz
80,10,7.806146033392849,6.854369777920311,plots/impulse_res200_pulse_sweep/metrics_start80_dur10.npz
80,20,8.084975340592884,6.20382167843426,plots/impulse_res200_pulse_sweep/metrics_start80_dur20.npz
80,30,7.8368823026624,6.139782924151092,plots/impulse_res200_pulse_sweep/metrics_start80_dur30.npz
80,50,7.7207535066642174,5.719728319310577,plots/impulse_res200_pulse_sweep/metrics_start80_dur50.npz
100,5,7.817368235072123,6.193913121225225,plots/impulse_res200_pulse_sweep/metrics_start100_dur5.npz
100,10,8.579329098409541,7.471174019378319,plots/impulse_res200_pulse_sweep/metrics_start100_dur10.npz
100,20,7.854867615364999,5.921863900056414,plots/impulse_res200_pulse_sweep/metrics_start100_dur20.npz
100,30,7.783412330167268,5.868770143528438,plots/impulse_res200_pulse_sweep/metrics_start100_dur30.npz
100,50,7.835412553313701,6.922840407030011,plots/impulse_res200_pulse_sweep/metrics_start100_dur50.npz
125,5,8.082398271430234,6.731044826534293,plots/impulse_res200_pulse_sweep/metrics_start125_dur5.npz
125,10,7.728069537283111,5.776110225560657,plots/impulse_res200_pulse_sweep/metrics_start125_dur10.npz
125,20,8.763766937001677,6.968065408639143,plots/impulse_res200_pulse_sweep/metrics_start125_dur20.npz
125,30,8.089541821645645,6.155270078535037,plots/impulse_res200_pulse_sweep/metrics_start125_dur30.npz
125,50,7.243505954328197,6.029573623030603,plots/impulse_res200_pulse_sweep/metrics_start125_dur50.npz
150,5,7.5513055265565745,6.229986130727489,plots/impulse_res200_pulse_sweep/metrics_start150_dur5.npz
150,10,7.752728968578242,6.00399475336506,plots/impulse_res200_pulse_sweep/metrics_start150_dur10.npz
150,20,9.152507967000611,8.187781779333648,plots/impulse_res200_pulse_sweep/metrics_start150_dur20.npz
150,30,7.138810950310826,6.4058657985765945,plots/impulse_res200_pulse_sweep/metrics_start150_dur30.npz
150,50,12.138833703248608,12.13512325028391,plots/impulse_res200_pulse_sweep/metrics_start150_dur50.npz
175,5,7.038396529260384,6.206791298753511,plots/impulse_res200_pulse_sweep/metrics_start175_dur5.npz
175,10,7.193054216220496,5.903909345038393,plots/impulse_res200_pulse_sweep/metrics_start175_dur10.npz
175,20,7.231334626648235,5.871270985456418,plots/impulse_res200_pulse_sweep/metrics_start175_dur20.npz
175,30,8.5068550202954,7.764648899701511,plots/impulse_res200_pulse_sweep/metrics_start175_dur30.npz
175,50,7.366732970572508,5.805030224708469,plots/impulse_res200_pulse_sweep/metrics_start175_dur50.npz
200,5,7.969075425705102,6.964661627843952,plots/impulse_res200_pulse_sweep/metrics_start200_dur5.npz
200,10,7.555756642042806,5.759945547495018,plots/impulse_res200_pulse_sweep/metrics_start200_dur10.npz
200,20,7.556420647271994,5.4909958053281995,plots/impulse_res200_pulse_sweep/metrics_start200_dur20.npz
200,30,7.195798980254004,6.492672558944363,plots/impulse_res200_pulse_sweep/metrics_start200_dur30.npz
200,50,7.386846141809768,5.762322520191579,plots/impulse_res200_pulse_sweep/metrics_start200_dur50.npz
225,5,7.924091636132634,5.459744757395583,plots/impulse_res200_pulse_sweep/metrics_start225_dur5.npz
225,10,7.650046143254096,6.1084393630086025,plots/impulse_res200_pulse_sweep/metrics_start225_dur10.npz
225,20,7.78606161244924,6.4693082250478104,plots/impulse_res200_pulse_sweep/metrics_start225_dur20.npz
225,30,7.232317502363322,5.495362658412018,plots/impulse_res200_pulse_sweep/metrics_start225_dur30.npz
225,50,7.154506930976046,5.829007641615908,plots/impulse_res200_pulse_sweep/metrics_start225_dur50.npz
250,5,14.249120581205943,14.59067803171175,plots/impulse_res200_pulse_sweep/metrics_start250_dur5.npz
250,10,7.608950023195709,6.152271941555324,plots/impulse_res200_pulse_sweep/metrics_start250_dur10.npz
250,20,6.955499801353338,5.538746281151708,plots/impulse_res200_pulse_sweep/metrics_start250_dur20.npz
250,30,7.034243463369547,5.865001963923129,plots/impulse_res200_pulse_sweep/metrics_start250_dur30.npz
250,50,7.128789751670849,5.607873466321151,plots/impulse_res200_pulse_sweep/metrics_start250_dur50.npz
275,5,7.010284130331931,5.414017512506965,plots/impulse_res200_pulse_sweep/metrics_start275_dur5.npz
275,10,12.215715063488638,11.604863596611457,plots/impulse_res200_pulse_sweep/metrics_start275_dur10.npz
275,20,6.9792810511415775,5.732598868902081,plots/impulse_res200_pulse_sweep/metrics_start275_dur20.npz
275,30,6.70838642324644,5.804039930154705,plots/impulse_res200_pulse_sweep/metrics_start275_dur30.npz
275,50,6.990057599773088,5.340559351332445,plots/impulse_res200_pulse_sweep/metrics_start275_dur50.npz
300,5,6.743324674077128,6.179002346218076,plots/impulse_res200_pulse_sweep/metrics_start300_dur5.npz
300,10,6.84893430071861,5.624212658108987,plots/impulse_res200_pulse_sweep/metrics_start300_dur10.npz
300,20,6.937849036480661,5.469679121125674,plots/impulse_res200_pulse_sweep/metrics_start300_dur20.npz
300,30,6.869325581224173,5.591871271580321,plots/impulse_res200_pulse_sweep/metrics_start300_dur30.npz
300,50,6.885245716939796,5.465634452185872,plots/impulse_res200_pulse_sweep/metrics_start300_dur50.npz
